Language_ID	Language_Name	Language_Macroarea	Language_Family_Name	Parameters_Coded	Mean_Similarity
abad1241	Abadi	Papunesia	Austronesian	118	68.7721404682274
abar1238	Mungbam	Africa	Atlantic-Congo	180	64.1157525083612
abau1245	Abau	Papunesia	Sepik	88	60.2474414715719
abee1242	Abé	Africa	Atlantic-Congo	142	69.866881270903
aben1249	Abenlen Ayta	Papunesia	Austronesian	90	65.7619690635452
abip1241	Abipon	South America	Guaicuruan	129	64.4138795986622
abkh1244	Abkhaz	Eurasia	Abkhaz-Adyge	188	62.8459197324415
abua1245	Abu' Arapesh	Papunesia	Nuclear Torricelli	170	64.0685033444816
abui1241	Abui	Papunesia	Timor-Alor-Pantar	100	60.7275
abun1252	Abun	Papunesia		195	68.165614548495
acha1249	Longchuan Achang	Eurasia	Sino-Tibetan	191	67.5001797658863
acha1250	Achagua	South America	Arawakan	124	62.7421446488294
ache1245	Acheron	Africa	Narrow Talodi	120	66.3427968227425
ache1246	Aché	South America	Tupian	78	65.5867056856187
achi1256	Achi	North America	Mayan	164	65.6227466555184
achi1257	Acehnese	Papunesia	Austronesian	192	69.0141555183946
achu1247	Achumawi	North America	Palaihnihan	106	64.4097115384615
achu1248	Achuar-Shiwiar	South America	Chicham	183	68.0670610367893
acol1236	Acoli	Africa	Nilotic	179	66.4942600334448
adan1251	Adang	Papunesia	Timor-Alor-Pantar	184	67.3798871237458
adny1235	Adnyamathanha	Australia	Pama-Nyungan	131	67.1916555183947
adon1237	Adonara	Papunesia	Austronesian	165	70.3160785953177
adze1240	Adzera	Papunesia	Austronesian	158	69.2451379598662
aeky1238	Aekyom	Papunesia	Kamula-Elevala	120	65.249397993311
afad1236	Afade	Africa	Afro-Asiatic	62	62.0753553511706
afar1241	Afar	Africa	Afro-Asiatic	188	65.3429222408027
aghe1239	Aghem	Africa	Atlantic-Congo	180	66.5309782608696
aghu1254	Aghu Tharnggalu	Australia	Pama-Nyungan	69	64.4681179422836
aghu1255	Aghu	Papunesia	Nuclear Trans New Guinea	175	64.9497324414716
aghw1237	Aghwan	Eurasia	Nakh-Daghestanian	147	62.6385158862876
agob1244	Agob-Ende-Kawam	Papunesia	Pahoturi	194	62.8660785953177
agua1253	Aguaruna	South America	Chicham	170	66.4269314381271
agus1235	Agusan Manobo	Papunesia	Austronesian	103	65.5531814381271
agut1237	Agutaynen	Papunesia	Austronesian	161	68.1444648829431
aheu1239	Thavung	Eurasia	Austroasiatic	192	68.6007984949833
ahin1234	Ahin-Kayapa Kalanguya	Papunesia	Austronesian	104	58.7268185618729
ahom1240	Ahom	Eurasia	Tai-Kadai	178	68.2344690635451
aika1237	Aikanã	South America		90	64.5855936454849
aime1238	Aimele	Papunesia	Bosavi	177	64.0386705685619
ainu1240	Hokkaido Ainu	Eurasia	Ainu	176	63.9029096989967
aito1238	Aiton	Eurasia	Tai-Kadai	102	61.6512081939799
ajab1235	Aja (Benin)	Africa	Atlantic-Congo	173	67.2361496655518
ajas1235	Aja (South Sudan)	Africa	Kresh-Aja	130	67.9222198996655
ajie1238	Ajië	Papunesia	Austronesian	149	68.1908612040134
ajyi1238	Ajyíninka Apurucayali	South America	Arawakan	69	59.9383403010033
akab1249	Akabea	Eurasia	Great Andamanese	192	66.659983277592
akaj1239	Akajeru	Eurasia	Great Andamanese	99	63.0361078595318
akan1250	Akan	Africa	Atlantic-Congo	57	64.3012724989535
akei1237	Akei	Papunesia	Austronesian	122	69.616279264214
akha1245	Akha	Eurasia	Sino-Tibetan	159	66.2405267558528
akka1240	Akkadian	Eurasia	Afro-Asiatic	167	65.1279891304348
akoo1248	Akoose	Africa	Atlantic-Congo	185	67.1427382943144
akun1241	Akuntsu	South America	Tupian	174	68.058143812709
alab1237	Alabama	North America	Muskogean	177	65.2248411371237
alab1254	Alaba-K'abeena	Africa	Afro-Asiatic	192	63.6723202341137
alac1244	Alacatlatzala Mixtec	North America	Otomanguean	154	61.3548453177258
alag1248	Alagwa	Africa	Afro-Asiatic	183	65.9428344481605
alam1246	Alamblak	Papunesia	Sepik	98	58.2045610367893
alba1269	Inland-Buhi-Daraga Bikol	Papunesia	Austronesian	128	67.4164882943144
aleu1260	Aleut	North America	Eskimo-Aleut	192	62.4701755852843
alor1247	Alorese	Papunesia	Austronesian	168	69.7011454849498
alse1251	Alsea-Yaquina	North America		149	64.8547533444816
aluk1238	Alu Kurumba	Eurasia	Dravidian	171	66.1973954849498
alya1239	Alyawarr	Australia	Pama-Nyungan	68	64.2880852842809
amah1246	Amahuaca	South America	Pano-Tacanan	153	68.3925710702341
amam1246	Amam	Papunesia	Goilalan	175	64.495643812709
amap1240	Ama (Papua New Guinea)	Papunesia	Left May	163	64.1374122073579
amar1272	Amara	Papunesia	Austronesian	148	69.0784908026756
amar1274	Amarakaeri	South America	Harakmbut	154	66.4994481605351
amas1236	Ama (Sudan)	Africa	Nyimang	166	68.4842224080268
ambo1250	Ambonese Malay	Papunesia	Austronesian	185	69.5536538461538
ambu1247	Ambulas	Papunesia	Ndu	91	61.2061622073579
amdo1237	Amdo Tibetan	Eurasia	Sino-Tibetan	177	68.2029180602007
amha1245	Amharic	Africa	Afro-Asiatic	101	58.1117182274248
amii1238	Ami	Australia	Western Daly	174	61.1096279264214
amis1246	Amis	Papunesia	Austronesian	151	65.736860367893
amri1238	Amri Karbi	Eurasia	Sino-Tibetan	150	70.0246571906355
anci1242	Ancient Greek	Eurasia	Indo-European	194	58.9234280936455
anci1244	Ancient Hebrew	Eurasia	Afro-Asiatic	182	64.2149080267559
ando1256	Andoque	South America		38	55.5141070681723
anei1239	Aneityum	Papunesia	Austronesian	180	65.2079933110368
anem1249	Anem	Papunesia		91	61.3668311036789
anfi1235	Anfillo	Africa	Ta-Ne-Omotic	108	67.038783444816
anga1288	Angami Naga	Eurasia	Sino-Tibetan	180	66.1909239130435
anga1290	Angaataha	Papunesia	Angan	131	63.3382441471572
ango1257	Angosturas Tunebo	South America	Chibchan	136	68.9583277591973
anin1240	Anindilyakwa	Australia	Gunwinyguan	102	56.8232371392723
anta1255	Antankarana Malagasy	Africa	Austronesian	102	64.3383354245086
anua1242	Anuak	Africa	Nilotic	71	61.375278126307
anuf1239	Anufo	Africa	Atlantic-Congo	162	70.7420861204013
anut1237	Anuta	Papunesia	Austronesian	153	66.0815928093646
anuu1241	Anu-Hkongso	Eurasia	Sino-Tibetan	190	65.5326003344482
aona1235	Ao Naga	Eurasia	Sino-Tibetan	185	67.3027717391304
aoua1234	A'ou	Eurasia	Tai-Kadai	187	69.0394523411371
apat1240	Apatani	Eurasia	Sino-Tibetan	170	67.5508235785953
apin1244	Apinayé	South America	Nuclear-Macro-Je	181	64.0718102006689
apma1240	Apma	Papunesia	Austronesian	194	68.7578971571906
apma1241	Ap Ma	Papunesia	Keram	126	68.2150668896321
apol1242	Apolista	South America	Arawakan	14	47.9814740368509
apur1254	Apurinã	South America	Arawakan	155	64.4236245819398
