Language_ID	Language_Name	Language_Macroarea	Language_Family_Name	Parameters_Coded	Mean_Similarity	Median_Similarity	Similarity_SD
aghe1239	Aghem	Africa	Atlantic-Congo	180	66.5309782608696	66.85	6.38712104381166
aghu1254	Aghu Tharnggalu	Australia	Pama-Nyungan	69	64.4681179422836	64.71	7.81808665103905
aghu1255	Aghu	Papunesia	Nuclear Trans New Guinea	175	64.9497324414716	65.22	5.92877653023341
aghw1237	Aghwan	Eurasia	Nakh-Daghestanian	147	62.6385158862876	62.68	6.45705818708226
agob1244	Agob-Ende-Kawam	Papunesia	Pahoturi	194	62.8660785953177	62.79	5.77971909614042
agua1253	Aguaruna	South America	Chicham	170	66.4269314381271	66.27	6.24554890859893
agus1235	Agusan Manobo	Papunesia	Austronesian	103	65.5531814381271	66.165	7.88483917847753
agut1237	Agutaynen	Papunesia	Austronesian	161	68.1444648829431	68.29	6.23778067789069
aheu1239	Thavung	Eurasia	Austroasiatic	192	68.6007984949833	68.045	8.89204353431623
ahin1234	Ahin-Kayapa Kalanguya	Papunesia	Austronesian	104	58.7268185618729	58.54	7.18302811393013
ahom1240	Ahom	Eurasia	Tai-Kadai	178	68.2344690635451	67.92	8.35276328569054
aika1237	Aikanã	South America		90	64.5855936454849	64.71	8.13900619325819
aime1238	Aimele	Papunesia	Bosavi	177	64.0386705685619	64.29	6.57292851639532
ainu1240	Hokkaido Ainu	Eurasia	Ainu	176	63.9029096989967	63.95	5.51719780902824
aito1238	Aiton	Eurasia	Tai-Kadai	102	61.6512081939799	60.44	9.99135074735748
ajab1235	Aja (Benin)	Africa	Atlantic-Congo	173	67.2361496655518	66.88	8.62907536358652
ajas1235	Aja (South Sudan)	Africa	Kresh-Aja	130	67.9222198996655	68.35	6.58431192253513
ajie1238	Ajië	Papunesia	Austronesian	149	68.1908612040134	67.28	8.3063020832227
ajyi1238	Ajyíninka Apurucayali	South America	Arawakan	69	59.9383403010033	60.32	7.69034521866093
akab1249	Akabea	Eurasia	Great Andamanese	192	66.659983277592	66.67	5.49369815006276
akaj1239	Akajeru	Eurasia	Great Andamanese	99	63.0361078595318	63.22	6.90220969909713
akan1250	Akan	Africa	Atlantic-Congo	57	64.3012724989535	64.15	7.99770274626341
akei1237	Akei	Papunesia	Austronesian	122	69.616279264214	70	7.0837542439594
akha1245	Akha	Eurasia	Sino-Tibetan	159	66.2405267558528	66.43	8.65824921320774
akka1240	Akkadian	Eurasia	Afro-Asiatic	167	65.1279891304348	65.28	5.21200889606202
akoo1248	Akoose	Africa	Atlantic-Congo	185	67.1427382943144	66.67	6.09323370074542
akun1241	Akuntsu	South America	Tupian	174	68.058143812709	68.53	5.72477566760363
alab1237	Alabama	North America	Muskogean	177	65.2248411371237	65.32	6.27470425468357
alab1254	Alaba-K'abeena	Africa	Afro-Asiatic	192	63.6723202341137	63.385	6.64384606350558
alac1244	Alacatlatzala Mixtec	North America	Otomanguean	154	61.3548453177258	61.49	5.6804861385161
alag1248	Alagwa	Africa	Afro-Asiatic	183	65.9428344481605	66.43	5.53806893428452
alam1246	Alamblak	Papunesia	Sepik	98	58.2045610367893	57.83	6.88557480056726
alba1269	Inland-Buhi-Daraga Bikol	Papunesia	Austronesian	128	67.4164882943144	67.72	6.51211224548637
aleu1260	Aleut	North America	Eskimo-Aleut	192	62.4701755852843	62.155	5.98220468285111
alor1247	Alorese	Papunesia	Austronesian	168	69.7011454849498	69.55	8.80485308893697
alse1251	Alsea-Yaquina	North America		149	64.8547533444816	64.83	6.24150622359184
aluk1238	Alu Kurumba	Eurasia	Dravidian	171	66.1973954849498	65.945	6.70746832692489
alya1239	Alyawarr	Australia	Pama-Nyungan	68	64.2880852842809	64.58	7.66203173128334
amah1246	Amahuaca	South America	Pano-Tacanan	153	68.3925710702341	68.27	6.82519864536484
amam1246	Amam	Papunesia	Goilalan	175	64.495643812709	64.85	6.07329327291276
amap1240	Ama (Papua New Guinea)	Papunesia	Left May	163	64.1374122073579	64.06	6.07486591913017
amar1272	Amara	Papunesia	Austronesian	148	69.0784908026756	68.61	8.0316889490465
amar1274	Amarakaeri	South America	Harakmbut	154	66.4994481605351	66.67	6.85945049491947
amas1236	Ama (Sudan)	Africa	Nyimang	166	68.4842224080268	68.94	6.3201572648005
ambo1250	Ambonese Malay	Papunesia	Austronesian	185	69.5536538461538	68.82	8.12383450226776
ambu1247	Ambulas	Papunesia	Ndu	91	61.2061622073579	61.36	6.76600069148676
amdo1237	Amdo Tibetan	Eurasia	Sino-Tibetan	177	68.2029180602007	68.42	6.22024112706013
amha1245	Amharic	Africa	Afro-Asiatic	101	58.1117182274248	58	7.11223896786111
amii1238	Ami	Australia	Western Daly	174	61.1096279264214	61.435	4.56092414018105
amis1246	Amis	Papunesia	Austronesian	151	65.736860367893	66.44	7.00088502266165
amri1238	Amri Karbi	Eurasia	Sino-Tibetan	150	70.0246571906355	70.37	5.65811770018967
anci1242	Ancient Greek	Eurasia	Indo-European	194	58.9234280936455	58.87	5.78115405033949
anci1244	Ancient Hebrew	Eurasia	Afro-Asiatic	182	64.2149080267559	64.44	5.72033595936309
ando1256	Andoque	South America		38	55.5141070681723	55	10.5771396396932
anei1239	Aneityum	Papunesia	Austronesian	180	65.2079933110368	65	6.79960185219289
anem1249	Anem	Papunesia		91	61.3668311036789	61.33	8.6842241382414
anfi1235	Anfillo	Africa	Ta-Ne-Omotic	108	67.038783444816	67.5	7.69578877383294
anga1288	Angami Naga	Eurasia	Sino-Tibetan	180	66.1909239130435	66.67	5.40459185075569
anga1290	Angaataha	Papunesia	Angan	131	63.3382441471572	63.76	6.08222903959522
ango1257	Angosturas Tunebo	South America	Chibchan	136	68.9583277591973	69.09	6.39280312464568
anin1240	Anindilyakwa	Australia	Gunwinyguan	102	56.8232371392723	56.67	6.75388985530802
anta1255	Antankarana Malagasy	Africa	Austronesian	102	64.3383354245086	64.77	6.74850532265877
anua1242	Anuak	Africa	Nilotic	71	61.375278126307	61.97	8.08070119451266
anuf1239	Anufo	Africa	Atlantic-Congo	162	70.7420861204013	70.73	7.08109330753762
anut1237	Anuta	Papunesia	Austronesian	153	66.0815928093646	65.235	9.28771257890255
